	en
0	Is it just me, or are there other people here that are a little bit disappointed with democracy?
1	(Applause)
2	So let's look at a few numbers.
3	If we look across the world, the median turnout in presidential elections over the last 30 years has been just 67 percent.
4	Now, if we go to Europe and we look at people that participated in EU parliamentary elections, the median turnout in those elections is just 42 percent.
5	Now let's go to New York, and let's see how many people voted in the last election for mayor.
6	We will find that only 24 percent of people showed up to vote.
7	"What that means is that, if ""Friends"" was still running, Joey and maybe Phoebe would have shown up to vote."
8	(Laughter)
9	And you cannot blame them because people are tired of politicians.
10	And people are tired of other people using the data that they have generated to communicate with their friends and family, to target political propaganda at them.
11	But the thing about this is that this is not new.
12	Nowadays, people use likes to target propaganda at you before they use your zip code or your gender or your age, because the idea of targeting people with propaganda for political purposes is as old as politics.
13	And the reason why that idea is there is because democracy has a basic vulnerability.
14	This is the idea of a representative.
15	In principle, democracy is the ability of people to exert power.
16	But in practice, we have to delegate that power to a representative that can exert that power for us.
17	That representative is a bottleneck, or a weak spot.
18	It is the place that you want to target if you want to attack democracy because you can capture democracy by either capturing that representative or capturing the way that people choose it.
19	So the big question is: Is this the end of history?
20	Is this the best that we can do or, actually, are there alternatives?
21	Some people have been thinking about alternatives, and one of the ideas that is out there is the idea of direct democracy.
22	This is the idea of bypassing politicians completely and having people vote directly on issues, having people vote directly on bills.
23	But this idea is naive because there's too many things that we would need to choose.
24	If you look at the 114th US Congress, you will have seen that the House of Representatives considered more than 6,000 bills, the Senate considered more than 3,000 bills and they approved more than 300 laws.
25	Those would be many decisions that each person would have to make a week on topics that they know little about.
26	So there's a big cognitive bandwidth problem if we're going to try to think about direct democracy as a viable alternative.
27	So some people think about the idea of liquid democracy, or fluid democracy, which is the idea that you endorse your political power to someone, who can endorse it to someone else, and, eventually, you create a large follower network in which, at the end, there's a few people that are making decisions on behalf of all of their followers and their followers.
28	But this idea also doesn't solve the problem of the cognitive bandwidth and, to be honest, it's also quite similar to the idea of having a representative.
29	So what I'm going to do today is I'm going to be a little bit provocative, and I'm going to ask you, well: What if, instead of trying to bypass politicians, we tried to automate them?
30	The idea of automation is not new.
31	It was started more than 300 years ago, when French weavers decided to automate the loom.
32	The winner of that industrial war was Joseph-Marie Jacquard.
33	He was a French weaver and merchant that married the loom with the steam engine to create autonomous looms.
34	And in those autonomous looms, he gained control.
35	He could now make fabrics that were more complex and more sophisticated than the ones they were able to do by hand.
36	But also, by winning that industrial war, he laid out what has become the blueprint of automation.
37	The way that we automate things for the last 300 years has always been the same: we first identify a need, then we create a tool to satisfy that need, like the loom, in this case, and then we study how people use that tool to automate that user.
38	That's how we came from the mechanical loom to the autonomous loom, and that took us a thousand years.
39	Now, it's taken us only a hundred years to use the same script to automate the car.
40	But the thing is that, this time around, automation is kind of for real.
41	This is a video that a colleague of mine from Toshiba shared with me that shows the factory that manufactures solid state drives.
42	The entire factory is a robot.
43	There are no humans in that factory.
44	And the robots are soon to leave the factories and become part of our world, become part of our workforce.
45	So what I do in my day job is actually create tools that integrate data for entire countries so that we can ultimately have the foundations that we need for a future in which we need to also manage those machines.
46	But today, I'm not here to talk to you about these tools that integrate data for countries.
47	But I'm here to talk to you about another idea that might help us think about how to use artificial intelligence in democracy.
48	Because the tools that I build are designed for executive decisions.
49	These are decisions that can be cast in some sort of term of objectivity — public investment decisions.
50	But there are decisions that are legislative, and these decisions that are legislative require communication among people that have different points of view, require participation, require debate, require deliberation.
51	And for a long time, we have thought that, well, what we need to improve democracy is actually more communication.
52	So all of the technologies that we have advanced in the context of democracy, whether they are newspapers or whether it is social media, have tried to provide us with more communication.
53	But we've been down that rabbit hole, and we know that's not what's going to solve the problem.
54	Because it's not a communication problem, it's a cognitive bandwidth problem.
55	So if the problem is one of cognitive bandwidth, well, adding more communication to people is not going to be what's going to solve it.
56	What we are going to need instead is to have other technologies that help us deal with some of the communication that we are overloaded with.
57	Think of, like, a little avatar, a software agent, a digital Jiminy Cricket —
58	(Laughter)
59	that basically is able to answer things on your behalf.
60	And if we had that technology, we would be able to offload some of the communication and help, maybe, make better decisions or decisions at a larger scale.
61	And the thing is that the idea of software agents is also not new.
62	We already use them all the time.
63	We use software agents to choose the way that we're going to drive to a certain location, the music that we're going to listen to or to get suggestions for the next books that we should read.
64	So there is an obvious idea in the 21st century that was as obvious as the idea of putting together a steam engine with a loom at the time of Jacquard.
65	And that idea is combining direct democracy with software agents.
66	Imagine, for a second, a world in which, instead of having a representative that represents you and millions of other people, you can have a representative that represents only you, with your nuanced political views — that weird combination of libertarian and liberal and maybe a little bit conservative on some issues and maybe very progressive on others.
67	Politicians nowadays are packages, and they're full of compromises.
68	But you might have someone that can represent only you, if you are willing to give up the idea that that representative is a human.
69	If that representative is a software agent, we could have a senate that has as many senators as we have citizens.
70	And those senators are going to be able to read every bill and they're going to be able to vote on each one of them.
71	So there's an obvious idea that maybe we want to consider.
72	But I understand that in this day and age, this idea might be quite scary.
73	In fact, thinking of a robot coming from the future to help us run our governments sounds terrifying.
74	But we've been there before.
75	(Laughter)
76	And actually he was quite a nice guy.
77	So what would the Jacquard loom version of this idea look like?
78	It would be a very simple system.
79	Imagine a system that you log in and you create your avatar, and then you're going to start training your avatar.
80	So you can provide your avatar with your reading habits, or connect it to your social media, or you can connect it to other data, for example by taking psychological tests.
81	And the nice thing about this is that there's no deception.
82	You are not providing data to communicate with your friends and family that then gets used in a political system.
83	You are providing data to a system that is designed to be used to make political decisions on your behalf.
84	Then you take that data and you choose a training algorithm, because it's an open marketplace in which different people can submit different algorithms to predict how you're going to vote, based on the data you have provided.
85	And the system is open, so nobody controls the algorithms; there are algorithms that become more popular and others that become less popular.
86	Eventually, you can audit the system.
87	You can see how your avatar is working.
88	If you like it, you can leave it on autopilot.
