	en
0	In 2015, 25 teams from around the world competed to build robots for disaster response that could perform a number of tasks, such as using a power tool, working on uneven terrain and driving a car.
1	That all sounds impressive, and it is, but look at the body of the winning robot, HUBO.
2	Here, HUBO is trying to get out of a car, and keep in mind, the video is sped up three times.
3	(Laughter)
4	HUBO, from team KAIST out of Korea, is a state-of-the-art robot with impressive capabilities, but this body doesn't look all that different from robots we've seen a few decades ago.
5	If you look at the other robots in the competition, their movements also still look, well, very robotic.
6	Their bodies are complex mechanical structures using rigid materials such as metal and traditional rigid electric motors.
7	They certainly weren't designed to be low-cost, safe near people and adaptable to unpredictable challenges.
8	We've made good progress with the brains of robots, but their bodies are still primitive.
9	This is my daughter Nadia.
10	She's only five years old and she can get out of the car way faster than HUBO.
11	(Laughter)
12	She can also swing around on monkey bars with ease, much better than any current human-like robot could do.
13	In contrast to HUBO, the human body makes extensive use of soft and deformable materials such as muscle and skin.
14	We need a new generation of robot bodies that is inspired by the elegance, efficiency and by the soft materials of the designs found in nature.
15	And indeed, this has become the key idea of a new field of research called soft robotics.
16	My research group and collaborators around the world are using soft components inspired by muscle and skin to build robots with agility and dexterity that comes closer and closer to the astonishing capabilities of the organisms found in nature.
17	I've always been particularly inspired by biological muscle.
18	Now, that's not surprising.
19	I'm also Austrian, and I know that I sound a bit like Arnie, the Terminator.
20	(Laughter)
21	Biological muscle is a true masterpiece of evolution.
22	It can heal after damage and it's tightly integrated with sensory neurons for feedback on motion and the environment.
23	It can contract fast enough to power the high-speed wings of a hummingbird; it can grow strong enough to move an elephant; and it's adaptable enough to be used in the extremely versatile arms of an octopus, an animal that can squeeze its entire body through tiny holes.
24	Actuators are for robots what muscles are for animals: key components of the body that enable movement and interaction with the world.
25	So if we could build soft actuators, or artificial muscles, that are as versatile, adaptable and could have the same performance as the real thing, we could build almost any type of robot for almost any type of use.
26	Not surprisingly, people have tried for many decades to replicate the astonishing capabilities of muscle, but it's been really hard.
27	About 10 years ago, when I did my PhD back in Austria, my colleagues and I rediscovered what is likely one of the very first publications on artificial muscle, published in 1880.
28	"""On the shape and volume changes of dielectric bodies caused by electricity,"" published by German physicist Wilhelm Röntgen."
29	Most of you know him as the discoverer of the X-ray.
30	Following his instructions, we used a pair of needles.
31	We connected it to a high-voltage source, and we placed it near a transparent piece of rubber that was prestretched onto a plastic frame.
32	When we switched on the voltage, the rubber deformed, and just like our biceps flexes our arm, the rubber flexed the plastic frame.
33	It looks like magic.
34	The needles don't even touch the rubber.
35	Now, having two such needles is not a practical way of operating artificial muscles, but this amazing experiment got me hooked on the topic.
36	I wanted to create new ways to build artificial muscles that would work well for real-world applications.
37	For the next years, I worked on a number of different technologies that all showed promise, but they all had remaining challenges that are hard to overcome.
38	In 2015, when I started my own lab at CU Boulder, I wanted to try an entirely new idea.
39	I wanted to combine the high speed and efficiency of electrically driven actuators with the versatility of soft, fluidic actuators.
40	Therefore, I thought, maybe I can try using really old science in a new way.
41	The diagram you see here shows an effect called Maxwell stress.
42	When you take two metal plates and place them in a container filled with oil, and then switch on a voltage, the Maxwell stress forces the oil up in between the two plates, and that's what you see here.
43	So the key idea was, can we use this effect to push around oil contained in soft stretchy structures?
44	And indeed, this worked surprisingly well, quite honestly, much better than I expected.
