	en
0	I'd like to tell you about a patient named Donna.
1	In this photograph, Donna was in her mid-70s, a vigorous, healthy woman, the matriarch of a large clan.
2	She had a family history of heart disease, however, and one day, she had the sudden onset of crushing chest pain.
3	Now unfortunately, rather than seeking medical attention, Donna took to her bed for about 12 hours until the pain passed.
4	"The next time she went to see her physician, he performed an electrocardiogram, and this showed that she'd had a large heart attack, or a ""myocardial infarction"" in medical parlance."
5	After this heart attack, Donna was never quite the same.
6	Her energy levels progressively waned, she couldn't do a lot of the physical activities she'd previously enjoyed.
7	It got to the point where she couldn't keep up with her grandkids, and it was even too much work to go out to the end of the driveway to pick up the mail.
8	One day, her granddaughter came by to walk the dog, and she found her grandmother dead in the chair.
9	Doctors said it was a cardiac arrhythmia that was secondary to heart failure.
10	But the last thing that I should tell you is that Donna was not just an ordinary patient.
11	Donna was my mother.
12	Stories like ours are, unfortunately, far too common.
13	Heart disease is the number one killer in the entire world.
14	In the United States, it's the most common reason patients are admitted to the hospital, and it's our number one health care expense.
15	"We spend over a 100 billion dollars — billion with a ""B"" — in this country every year on the treatment of heart disease."
16	Just for reference, that's more than twice the annual budget of the state of Washington.
17	What makes this disease so deadly?
18	Well, it all starts with the fact that the heart is the least regenerative organ in the human body.
19	Now, a heart attack happens when a blood clot forms in a coronary artery that feeds blood to the wall of the heart.
20	This plugs the blood flow, and the heart muscle is very metabolically active, and so it dies very quickly, within just a few hours of having its blood flow interrupted.
21	Since the heart can't grow back new muscle, it heals by scar formation.
22	This leaves the patient with a deficit in the amount of heart muscle that they have.
23	And in too many people, their illness progresses to the point where the heart can no longer keep up with the body's demand for blood flow.
24	This imbalance between supply and demand is the crux of heart failure.
25	"So when I talk to people about this problem, I often get a shrug and a statement to the effect of, ""Well, you know, Chuck, we've got to die of something."""
26	(Laughter)
27	And yeah, but what this also tells me is that we've resigned ourselves to this as the status quo because we have to.
28	Or do we?
29	I think there's a better way, and this better way involves the use of stem cells as medicines.
30	So what, exactly, are stem cells?
31	If you look at them under the microscope, there's not much going on.
32	They're just simple little round cells.
33	But that belies two remarkable attributes.
34	The first is they can divide like crazy.
35	So I can take a single cell, and in a month's time, I can grow this up to billions of cells.
36	The second is they can differentiate or become more specialized, so these simple little round cells can turn into skin, can turn into brain, can turn into kidney and so forth.
37	Now, some tissues in our bodies are chock-full of stem cells.
38	Our bone marrow, for example, cranks out billions of blood cells every day.
39	Other tissues like the heart are quite stable, and as far as we can tell, the heart lacks stem cells entirely.
40	So for the heart, we're going to have to bring stem cells in from the outside, and for this, we turn to the most potent stem cell type, the pluripotent stem cell.
41	Pluripotent stem cells are so named because they can turn into any of the 240-some cell types that make up the human body.
