	en
0	[This talk contains mature content]
1	Rana Ayyub is a journalist in India whose work has exposed government corruption and human rights violations.
2	And over the years, she's gotten used to vitriol and controversy around her work.
3	But none of it could have prepared her for what she faced in April 2018.
4	She was sitting in a café with a friend when she first saw it: a two-minute, 20-second video of her engaged in a sex act.
5	And she couldn't believe her eyes.
6	She had never made a sex video.
7	But unfortunately, thousands upon thousands of people would believe it was her.
8	I interviewed Ms. Ayyub about three months ago, in connection with my book on sexual privacy.
9	I'm a law professor, lawyer and civil rights advocate.
10	So it's incredibly frustrating knowing that right now, law could do very little to help her.
11	And as we talked, she explained that she should have seen the fake sex video coming.
12	"She said, ""After all, sex is so often used to demean and to shame women, especially minority women, and especially minority women who dare to challenge powerful men,"" as she had in her work."
13	The fake sex video went viral in 48 hours.
14	All of her online accounts were flooded with screenshots of the video, with graphic rape and death threats and with slurs about her Muslim faith.
15	"Online posts suggested that she was ""available"" for sex."
16	And she was doxed, which means that her home address and her cell phone number were spread across the internet.
17	The video was shared more than 40,000 times.
18	Now, when someone is targeted with this kind of cybermob attack, the harm is profound.
19	Rana Ayyub's life was turned upside down.
20	For weeks, she could hardly eat or speak.
21	She stopped writing and closed all of her social media accounts, which is, you know, a tough thing to do when you're a journalist.
22	And she was afraid to go outside her family's home.
23	What if the posters made good on their threats?
24	The UN Council on Human Rights confirmed that she wasn't being crazy.
25	It issued a public statement saying that they were worried about her safety.
26	What Rana Ayyub faced was a deepfake: machine-learning technology that manipulates or fabricates audio and video recordings to show people doing and saying things that they never did or said.
27	Deepfakes appear authentic and realistic, but they're not; they're total falsehoods.
28	Although the technology is still developing in its sophistication, it is widely available.
29	Now, the most recent attention to deepfakes arose, as so many things do online, with pornography.
30	In early 2018, someone posted a tool on Reddit to allow users to insert faces into porn videos.
31	And what followed was a cascade of fake porn videos featuring people's favorite female celebrities.
32	And today, you can go on YouTube and pull up countless tutorials with step-by-step instructions on how to make a deepfake on your desktop application.
33	And soon we may be even able to make them on our cell phones.
34	Now, it's the interaction of some of our most basic human frailties and network tools that can turn deepfakes into weapons.
35	So let me explain.
36	As human beings, we have a visceral reaction to audio and video.
37	We believe they're true, on the notion that of course you can believe what your eyes and ears are telling you.
38	And it's that mechanism that might undermine our shared sense of reality.
39	Although we believe deepfakes to be true, they're not.
40	And we're attracted to the salacious, the provocative.
41	We tend to believe and to share information that's negative and novel.
42	And researchers have found that online hoaxes spread 10 times faster than accurate stories.
43	Now, we're also drawn to information that aligns with our viewpoints.
44	"Psychologists call that tendency ""confirmation bias."""
45	And social media platforms supercharge that tendency, by allowing us to instantly and widely share information that accords with our viewpoints.
46	Now, deepfakes have the potential to cause grave individual and societal harm.
47	So, imagine a deepfake that shows American soldiers in Afganistan burning a Koran.
48	You can imagine that that deepfake would provoke violence against those soldiers.
49	And what if the very next day there's another deepfake that drops, that shows a well-known imam based in London praising the attack on those soldiers?
50	We might see violence and civil unrest, not only in Afganistan and the United Kingdom, but across the globe.
51	"And you might say to me, ""Come on, Danielle, that's far-fetched."""
52	But it's not.
53	We've seen falsehoods spread on WhatsApp and other online message services lead to violence against ethnic minorities.
54	And that was just text — imagine if it were video.
55	Now, deepfakes have the potential to corrode the trust that we have in democratic institutions.
56	So, imagine the night before an election.
57	There's a deepfake showing one of the major party candidates gravely sick.
58	The deepfake could tip the election and shake our sense that elections are legitimate.
59	Imagine if the night before an initial public offering of a major global bank, there was a deepfake showing the bank's CEO drunkenly spouting conspiracy theories.
60	The deepfake could tank the IPO, and worse, shake our sense that financial markets are stable.
61	So deepfakes can exploit and magnify the deep distrust that we already have in politicians, business leaders and other influential leaders.
62	They find an audience primed to believe them.
63	And the pursuit of truth is on the line as well.
64	Technologists expect that with advances in AI, soon it may be difficult if not impossible to tell the difference between a real video and a fake one.
65	So how can the truth emerge in a deepfake-ridden marketplace of ideas?
66	Will we just proceed along the path of least resistance and believe what we want to believe, truth be damned?
67	And not only might we believe the fakery, we might start disbelieving the truth.
68	We've already seen people invoke the phenomenon of deepfakes to cast doubt on real evidence of their wrongdoing.
69	"We've heard politicians say of audio of their disturbing comments, ""Come on, that's fake news."
70	"You can't believe what your eyes and ears are telling you."""
71	"And it's that risk that professor Robert Chesney and I call the ""liar's dividend"": the risk that liars will invoke deepfakes to escape accountability for their wrongdoing."
72	So we've got our work cut out for us, there's no doubt about it.
