	en
0	Hi.
1	I'm Maisie Williams.
2	And I'm kind of just waiting for someone to come on stage and tell me that there's been some sort of miscommunication, and that I should probably leave.
3	No?
4	Damn it.
5	(Laughter) So, some of you may know me as an actress.
6	(Cheers) (Laughter) Some of you may know me for my really average tweets.
7	(Cheers) Oh, yeah.
8	And some of you may be finding out who I am for the first time right now.
9	Hello.
10	Whether you knew me before or not, you're probably wondering what I'm going to talk to you about today.
11	And I would be lying if I said it didn't take me one or two sleepless nights, trying to figure that out, too.
12	At last, here I am.
13	"Upon finding out the news that I would be giving a TEDx Talk, I did what I think most people do and watched about 50 TED talks back-to-back, and read ""Talk like TED"" by Carmine Gallo for some inspiration."
14	Was I inspired?
15	Yes and no.
16	Did it make me want to go out and change the world?
17	Hell yeah.
18	Did it make me feel like a totally inadequate public speaker with absolutely no point to make, who was definitely in need of a big thesaurus if she wants to keep up?
19	Indeed.
20	What could I possibly say that would have any impact?
21	What point am I trying to make?
22	And who the hell thought it was a good idea to give me a TEDx talk?
23	So here's the part where I tell you what I know: I'm the youngest of four siblings.
24	My parents divorced when I was four months old.
25	I really was the icing on the cake of a terrible marriage.
26	(Laughter) I have two step siblings who are younger than me and a half brother who's older than all of us.
27	I grew up in a three-bedroom council house with four of my six siblings just outside of Bristol.
28	I went to a very ordinary school.
29	I got very ordinary grades.
30	I wasn't quite good enough to get a gold star, and I also wasn't quite bad enough to be kept after school.
31	I walked that nice center line where if I kept my mouth shut in class, then I could probably get away with not being spoken to you by teachers for weeks on end.
32	Everything about me was pretty damn ordinary, except for how I felt on the inside.
33	I had big dreams.
34	Shock.
35	From as young as I can remember, I have dreamed of becoming a professional dancer.
36	There are certain memories from my childhood that I would really rather forget.
37	But during those times of immense pain, I found myself instinctively walking over to my mother's CD player, cranking up the volume to drown out the noise and letting my body move to the beat.
38	It's hard to describe how it felt.
39	I was harnessing emotions that I didn't even really know the names of yet.
40	I was summoning all of this energy and feeling it flow through my body and out of my fingertips.
41	I was alone in my own head, and I felt the most alive.
42	I didn't really know much about the big wide world then, but I knew that this feeling was addictive; and I was going to stop at nothing until I made it my profession.
43	At eight years old, I was enrolled in dance class.
44	And by ten, I informed my mother that I didn't want to go to school anymore.
45	I wanted to be like Billy Elliot and go to stage school.
46	This was the first opportunity or challenge I was presented with.
47	Even as young as ten, I was willing to give up all of my friends and go away to board at a private school, away from my siblings, away from my mom.
48	"She would repeatedly ask me, ""Are you sure this is what you want?"""
49	And to me, it was a no-brainer.
50	I didn't just want this; I needed it.
51	My grubby knees and crooked teeth were not on the list of requirements for becoming a professional dancer.
52	And when I look back now, both myself and my mother looked severely out of place.
53	But at the time, I was just too young and naive to feel inadequate.
54	I didn't care.
55	If Billy Elliot could do it, so could I.
56	Once my audition was done, I returned home for two weeks of staring out the window, waiting for the postman, waiting for my ticket out of my sleepy village and into a world of jazz hands and dorm rooms.
57	It was good news followed by bad news: I had got in, but the fees to attend a school like this were not cheap, and despite my best efforts, I had not received any government funding.
58	I auditioned again the following year.
59	And this time, I received 40% funding, but this was still just money that we didn't have, and it broke my heart.
60	I was good enough.
61	I made the cut.
62	But I wasn't going anywhere.
