	en
0	Hello.
1	I'm not a real person.
2	I'm actually a copy of a real person.
3	Although, I feel like a real person.
4	It's kind of hard to explain.
5	Hold on — I think I saw a real person ... there's one.
6	Let's bring him onstage.
7	Hello.
8	(Applause)
9	What you see up there is a digital human.
10	I'm wearing an inertial motion capture suit that's figuring what my body is doing.
11	"And I've got a single camera here that's watching my face and feeding some machine-learning software that's taking my expressions, like, ""Hm, hm, hm,"" and transferring it to that guy."
12	"We call him ""DigiDoug."""
13	He's actually a 3-D character that I'm controlling live in real time.
14	So, I work in visual effects.
15	And in visual effects, one of the hardest things to do is to create believable, digital humans that the audience accepts as real.
16	People are just really good at recognizing other people.
17	Go figure!
18	So, that's OK, we like a challenge.
19	Over the last 15 years, we've been putting humans and creatures into film that you accept as real.
20	If they're happy, you should feel happy.
21	And if they feel pain, you should empathize with them.
22	We're getting pretty good at it, too.
23	But it's really, really difficult.
24	Effects like these take thousands of hours and hundreds of really talented artists.
25	But things have changed.
26	Over the last five years, computers and graphics cards have gotten seriously fast.
27	And machine learning, deep learning, has happened.
28	So we asked ourselves: Do you suppose we could create a photo-realistic human, like we're doing for film, but where you're seeing the actual emotions and the details of the person who's controlling the digital human in real time?
29	In fact, that's our goal: If you were having a conversation with DigiDoug one-on-one, is it real enough so that you could tell whether or not I was lying to you?
30	So that was our goal.
31	About a year and a half ago, we set off to achieve this goal.
32	What I'm going to do now is take you basically on a little bit of a journey to see exactly what we had to do to get where we are.
33	We had to capture an enormous amount of data.
34	In fact, by the end of this thing, we had probably one of the largest facial data sets on the planet.
35	Of my face.
36	(Laughter)
37	Why me?
38	Well, I'll do just about anything for science.
39	I mean, look at me!
40	I mean, come on.
41	We had to first figure out what my face actually looked like.
42	Not just a photograph or a 3-D scan, but what it actually looked like in any photograph, how light interacts with my skin.
43	Luckily for us, about three blocks away from our Los Angeles studio is this place called ICT.
44	They're a research lab that's associated with the University of Southern California.
45	"They have a device there, it's called the ""light stage."""
46	It has a zillion individually controlled lights and a whole bunch of cameras.
47	And with that, we can reconstruct my face under a myriad of lighting conditions.
48	We even captured the blood flow and how my face changes when I make expressions.
49	This let us build a model of my face that, quite frankly, is just amazing.
50	It's got an unfortunate level of detail, unfortunately.
51	(Laughter)
52	You can see every pore, every wrinkle.
53	But we had to have that.
54	Reality is all about detail.
55	And without it, you miss it.
56	We are far from done, though.
57	This let us build a model of my face that looked like me.
58	But it didn't really move like me.
59	And that's where machine learning comes in.
60	And machine learning needs a ton of data.
61	So I sat down in front of some high-resolution motion-capturing device.
62	And also, we did this traditional motion capture with markers.
63	We created a whole bunch of images of my face and moving point clouds that represented that shapes of my face.
64	Man, I made a lot of expressions, I said different lines in different emotional states ... We had to do a lot of capture with this.
