	en
0	You don't know them.
1	You don't see them.
2	But they're always around, whispering, making secret plans, building armies with millions of soldiers.
3	And when they decide to attack, they all attack at the same time.
4	I'm talking about bacteria.
5	(Laughter)
6	Who did you think I was talking about?
7	Bacteria live in communities just like humans.
8	They have families, they talk, and they plan their activities.
9	And just like humans, they trick, deceive, and some might even cheat on each other.
10	What if I tell you that we can listen to bacterial conversations and translate their confidential information into human language?
11	And what if I tell you that translating bacterial conversations can save lives?
12	I hold a PhD in nanophysics, and I've used nanotechnology to develop a real-time translation tool that can spy on bacterial communities and give us recordings of what bacteria are up to.
13	Bacteria live everywhere.
14	They're in the soil, on our furniture and inside our bodies.
15	In fact, 90 percent of all the live cells in this theater are bacterial.
16	Some bacteria are good for us; they help us digest food or produce antibiotics.
17	And some bacteria are bad for us; they cause diseases and death.
18	To coordinate all the functions bacteria have, they have to be able to organize, and they do that just like us humans — by communicating.
19	But instead of using words, they use signaling molecules to communicate with each other.
20	When bacteria are few, the signaling molecules just flow away, like the screams of a man alone in the desert.
21	But when there are many bacteria, the signaling molecules accumulate, and the bacteria start sensing that they're not alone.
22	They listen to each other.
23	In this way, they keep track of how many they are and when they're many enough to initiate a new action.
24	And when the signaling molecules have reached a certain threshold, all the bacteria sense at once that they need to act with the same action.
25	So bacterial conversation consists of an initiative and a reaction, a production of a molecule and the response to it.
26	In my research, I focused on spying on bacterial communities inside the human body.
27	How does it work?
28	We have a sample from a patient.
29	It could be a blood or spit sample.
30	We shoot electrons into the sample, the electrons will interact with any communication molecules present, and this interaction will give us information on the identity of the bacteria, the type of communication and how much the bacteria are talking.
31	But what is it like when bacteria communicate?
32	Before I developed the translation tool, my first assumption was that bacteria would have a primitive language, like infants that haven't developed words and sentences yet.
33	When they laugh, they're happy; when they cry, they're sad.
34	Simple as that.
35	But bacteria turned out to be nowhere as primitive as I thought they would be.
36	A molecule is not just a molecule.
37	It can mean different things depending on the context, just like the crying of babies can mean different things: sometimes the baby is hungry, sometimes it's wet, sometimes it's hurt or afraid.
38	Parents know how to decode those cries.
39	And to be a real translation tool, it had to be able to decode the signaling molecules and translate them depending on the context.
40	And who knows?
41	Maybe Google Translate will adopt this soon.
42	(Laughter)
43	Let me give you an example.
44	I've brought some bacterial data that can be a bit tricky to understand if you're not trained, but try to take a look.
45	(Laughter)
46	Here's a happy bacterial family that has infected a patient.
47	Let's call them the Montague family.
48	They share resources, they reproduce, and they grow.
49	One day, they get a new neighbor, bacterial family Capulet.
50	(Laughter)
51	Everything is fine, as long as they're working together.
52	But then something unplanned happens.
53	Romeo from Montague has a relationship with Juliet from Capulet.
54	(Laughter)
55	And yes, they share genetic material.
56	(Laughter)
57	Now, this gene transfer can be dangerous to the Montagues that have the ambition to be the only family in the patient they have infected, and sharing genes contributes to the Capulets developing resistance to antibiotics.
58	So the Montagues start talking internally to get rid of this other family by releasing this molecule.
59	(Laughter)
60	And with subtitles:
61	[Let us coordinate an attack.]
62	(Laughter)
63	Let's coordinate an attack.
64	And then everybody at once responds by releasing a poison that will kill the other family.
65	[Eliminate!]
66	(Laughter)
67	The Capulets respond by calling for a counterattack.
68	[Counterattack!]
69	And they have a battle.
70	This is a video of real bacteria dueling with swordlike organelles, where they try to kill each other by literally stabbing and rupturing each other.
71	Whoever's family wins this battle becomes the dominant bacteria.
72	So what I can do is to detect bacterial conversations that lead to different collective behaviors like the fight you just saw.
73	And what I did was to spy on bacterial communities inside the human body in patients at a hospital.
74	I followed 62 patients in an experiment, where I tested the patient samples for one particular infection, without knowing the results of the traditional diagnostic test.
75	Now, in bacterial diagnostics, a sample is smeared out on a plate, and if the bacteria grow within five days, the patient is diagnosed as infected.
76	When I finished the study and I compared the tool results to the traditional diagnostic test and the validation test, I was shocked.
77	It was far more astonishing than I had ever anticipated.
78	But before I tell you what the tool revealed, I would like to tell you about a specific patient I followed, a young girl.
79	She had cystic fibrosis, a genetic disease that made her lungs susceptible to bacterial infections.
80	This girl wasn't a part of the clinical trial.
81	I followed her because I knew from her medical record that she had never had an infection before.
82	Once a month, this girl went to the hospital to cough up a sputum sample that she spit in a cup.
83	This sample was transferred for bacterial analysis at the central laboratory so the doctors could act quickly if they discovered an infection.
