	en
0	Computers have become truly incredible.
1	We are walking around with supercomputers in our pocket.
2	How amazing is that?
3	So it is disappointing that the way we use computers, the way we interact with them, hasn't really changed in the last 50 years.
4	We still use a mouse and keyboards.
5	We're clicking on screens and buttons.
6	Mobile phones are the same.
7	We're just using fingers instead of a mouse.
8	So is that it?
9	Is that what the future looks like?
10	We're going to be stuck in the screens with our faces not seeing the world around us?
11	That's not the future I imagine, or the future I'm attracted to.
12	What I've been always interested in is things, physical things we use every day, like things on this table that the family doesn't pay attention to.
13	Things tell our story.
14	They tell who we are.
15	They tell a lot about us.
16	Let me give you an example.
17	These are photographs of things a person touched during 24 hours.
18	What can you tell about him?
19	He loves his motorcycle.
20	Right?
21	The biggest thing in his picture.
22	What can you tell about this girl?
23	She spends all her time on the beach.
24	There's a surfboard.
25	She lives by the sea.
26	What can you tell about this guy?
27	He's a chef.
28	Look at all the ingredients he touched during the day, while he was preparing the food, and the computer is a tiny part of his life, this sad thing in the corner.
29	So if we are using things all the time, and this is a big part of our lives, can things become the way for us to interact with our digital life?
30	Can the world become your interface?
31	That was my idea.
32	I've been working for 20 years on it.
33	My idea is that in order to interact in digital life, you don't need to have screens and keyboards and mouses.
34	You can interact with your digital life just by using the things you use every day.
35	And to realize this idea, I need to solve three big challenges.
36	Let me tell you about them.
37	The first one, obviously: Is it even possible?
38	How can you take an everyday thing you use every day and turn it into a computer interface?
39	"Now I was inspired by the book ""Hackers."""
40	I read it when I was a teenager, and one of the essential ideas of this book is that you can change the purpose of things by inventing new technology and then hacking into things and changing them.
41	So I've been thinking what kind of technology I can invent so that I can hack into things you use every day and make them interactive.
42	So when I was working on this thing, I invented this sensor which injects structured electric fields into objects and turns them into gesture interfaces.
43	So this doorknob, unmodified, can become a gesture sensor.
44	It can know how you're touching it.
45	It can feel how you're touching it.
46	It makes a circle, or can I grasp.
47	And this doorknob isn't modified.
48	There's nothing special about doorknobs.
49	Anything can become interactive.
50	What about plants?
51	So plants are interesting, because with plants, they can know where you're touching.
52	You can see the line moving up and down on the image.
53	And that can turn into a musical interface.
54	(Musical tones)
55	Now, we do have also practical applications: a calendar plant for those who are obsessed about practicality.
56	(Laughter)
57	We can give things a personality.
58	(Low notes changing in pitch)
59	So in this particular example, the orchid can communicate to you through images and sounds.
60	It doesn't like to be touched, so it's created these electric images that are hissing at you.
61	This plant, for example, is more robust, it's a snake plant, and it likes playing with you.
62	It engages you.
63	So every thing can be different, and every thing can represent what it feels.
64	So everything can be hacked, all the things, including your body.
65	In this example, we hacked your body so you can measure how you're folding your hands and then using your hand gestures to control something else, so if you don't want to listen to some music thousands of times, you simply can cover your ears to turn it off.
66	So everything can be hacked, and research is important, but the second challenge we have is how can we go from R and D, and prototypes, to real products?
67	How can we make real things that are also interfaces?
68	And you may ask yourself, who would do this?
69	Silicon Valley?
70	Is it through Shenzhen?
71	Now the challenge there is that the world of things is huge.
72	Every year, the apparel industry produces 150 billion garments.
73	In comparison, the technology industry only makes 1.4 billion phones.
74	The world of things is much bigger than the world of technology.
75	The technology world cannot change the world of things.
76	Instead, we need to create technology which changes makers of things, people who make your chairs and clothes and everything else, into makers of smart things, enable them to do that.
77	So to test this challenge, we came up with a very simple idea and challenge: Can a tailor make a wearable?
78	Now we don't want to take a tailor and turn the tailor into an electrical engineer.
79	We still want to have some tailors around.
80	But what we would like to do is create technology which looks, feels and behaves like a raw material used by the tailor to make their clothes.
81	For example, a touch panel made for a tailor would look like this, made out of textiles, so you can cut it with scissors and sew it in.
82	At the same time, it has to retain the performance.
83	The way to make this textile touch panel also requires a very different approach than for making consumer electronics.
84	In our case, we have to go to the mountains of Tokyo to a small factory which was making kimono garments for generations.
85	We worked with my collaborators, who were not engineers.
86	It was an artisan who knows how to make things and an artist who knows how to make things beautiful.
87	Working with them, we created one of the best yarns in the world, which consists of thin metallic alloys wrapped around with polyester fibers and cotton fibers.
88	These yarns were made in the same machines which were making yarns for kimonos for generations.
89	We then took these yarns and gave them to the factory, which is making textiles, and we wove our smart textile using regular machines in a variety of colors and materials, and we gave those textiles to a tailor in Savile Row in London.
90	So tailors are traditionalists, particularly in Savile Row.
91	They don't use computers.
92	They don't use machines.
93	They use hands and they cut.
