	en
0	As a roboticist, I get asked a lot of questions.
1	"""When we will they start serving me breakfast?"""
2	So I thought the future of robotics would be looking more like us.
3	I thought they would look like me, so I built eyes that would simulate my eyes.
4	I built fingers that are dextrous enough to serve me ... baseballs.
5	Classical robots like this are built and become functional based on the fixed number of joints and actuators.
6	And this means their functionality and shape are already fixed at the moment of their conception.
7	So even though this arm has a really nice throw — it even hit the tripod at the end— it's not meant for cooking you breakfast per se.
8	It's not really suited for scrambled eggs.
9	So this was when I was hit by a new vision of future robotics: the transformers.
10	They drive, they run, they fly, all depending on the ever-changing, new environment and task at hand.
11	To make this a reality, you really have to rethink how robots are designed.
12	So, imagine a robotic module in a polygon shape and using that simple polygon shape to reconstruct multiple different forms to create a new form of robot for different tasks.
13	In CG, computer graphics, it's not any news — it's been done for a while, and that's how most of the movies are made.
14	But if you're trying to make a robot that's physically moving, it's a completely new story.
15	It's a completely new paradigm.
16	But you've all done this.
17	Who hasn't made a paper airplane, paper boat, paper crane?
18	Origami is a versatile platform for designers.
19	From a single sheet of paper, you can make multiple shapes, and if you don't like it, you unfold and fold back again.
20	Any 3D form can be made from 2D surfaces by folding, and this is proven mathematically.
21	And imagine if you were to have an intelligent sheet that can self-fold into any form it wants, anytime.
22	And that's what I've been working on.
23	"I call this robotic origami, ""robogami."""
24	This is our first robogami transformation that was made by me about 10 years ago.
25	From a flat-sheeted robot, it turns into a pyramid and back into a flat sheet and into a space shuttle.
26	Quite cute.
27	Ten years later, with my group of ninja origami robotic researchers — about 22 of them right now — we have a new generation of robogamis, and they're a little more effective and they do more than that.
28	So the new generation of robogamis actually serve a purpose.
29	For example, this one actually navigates through different terrains autonomously.
30	So when it's a dry and flat land, it crawls.
31	And if it meets sudden rough terrain, it starts rolling.
32	It does this — it's the same robot — but depending on which terrain it meets, it activates a different sequence of actuators that's on board.
33	And once it meets an obstacle, it jumps over it.
34	It does this by storing energy in each of its legs and releasing it and catapulting like a slingshot.
35	And it even does gymnastics.
36	Yay.
37	(Laughter)
38	So I just showed you what a single robogami can do.
39	Imagine what they can do as a group.
40	They can join forces to tackle more complex tasks.
41	Each module, either active or passive, we can assemble them to create different shapes.
42	Not only that, by controlling the folding joints, we're able to create and attack different tasks.
43	The form is making new task space.
44	And this time, what's most important is the assembly.
45	They need to autonomously find each other in a different space, attach and detach, depending on the environment and task.
46	And we can do this now.
47	So what's next?
48	Our imagination.
49	This is a simulation of what you can achieve with this type of module.
50	We decided that we were going to have a four-legged crawler turn into a little dog and make small gaits.
51	With the same module, we can actually make it do something else: a manipulator, a typical, classical robotic task.
52	So with a manipulator, it can pick up an object.
53	Of course, you can add more modules to make the manipulator legs longer to attack or pick up objects that are bigger or smaller, or even have a third arm.
54	For robogamis, there's no one fixed shape nor task.
55	They can transform into anything, anywhere, anytime.
56	So how do you make them?
57	The biggest technical challenge of robogami is keeping them super thin, flexible, but still remaining functional.
58	They're composed of multiple layers of circuits, motors, microcontrollers and sensors, all in the single body, and when you control individual folding joints, you'll be able to achieve soft motions like that upon your command.
59	Instead of being a single robot that is specifically made for a single task, robogamis are optimized to do multi-tasks.
60	And this is quite important for the difficult and unique environments on the Earth as well as in space.
61	Space is a perfect environment for robogamis.
62	You cannot afford to have one robot for one task.
63	Who knows how many tasks you will encounter in space?
64	What you want is a single robotic platform that can transform to do multi-tasks.
65	What we want is a deck of thin robogami modules that can transform to do multiples of performing tasks.
66	And don't take my word for it, because the European Space Agency and Swiss Space Center are sponsoring this exact concept.
67	So here you see a couple of images of reconfiguration of robogamis, exploring the foreign land aboveground, on the surface, as well as digging into the surface.
68	It's not just exploration.
69	For astronauts, they need additional help, because you cannot afford to bring interns up there, either.
70	(Laughter)
71	They have to do every tedious task.
72	They may be simple, but super interactive.
73	So you need robots to facilitate their experiments, assisting them with the communications and just docking onto surfaces to be their third arm holding different tools.
74	But how will they be able to control robogamis, for example, outside the space station?
75	In this case, I show a robogami that is holding space debris.
76	You can work with your vision so that you can control them, but what would be better is having the sensation of touch directly transported onto the hands of the astronauts.
77	And what you need is a haptic device, a haptic interface that recreates the sensation of touch.
78	And using robogamis, we can do this.
79	This is the world's smallest haptic interface that can recreate a sensation of touch just underneath your fingertip.
80	We do this by moving the robogami by microscopic and macroscopic movements at the stage.
81	And by having this, not only will you be able to feel how big the object is, the roundness and the lines, but also the stiffness and the texture.
82	Alex has this interface just underneath his thumb, and if he were to use this with VR goggles and hand controllers, now the virtual reality is no longer virtual.
83	It becomes a tangible reality.
84	The blue ball, red ball and black ball that he's looking at is no longer differentiated by colors.
85	Now it is a rubber blue ball, sponge red ball and billiard black ball.
86	This is now possible.
87	Let me show you.
88	This is really the first time this is shown live in front of a public grand audience, so hopefully this works.
89	So what you see here is an atlas of anatomy and the robogami haptic interface.
90	So, like all the other reconfigurable robots, it multitasks.
91	Not only is it going to serve as a mouse, but also a haptic interface.
92	So for example, we have a white background where there is no object.
93	That means there is nothing to feel, so we can have a very, very flexible interface.
94	Now, I use this as a mouse to approach skin, a muscular arm, so now let's feel his biceps, or shoulders.
95	So now you see how much stiffer it becomes.
96	Let's explore even more.
97	Let's approach the ribcage.
