	en
0	So let me with start with Roy Amara.
1	Roy's argument is that most new technologies tend to be overestimated in their impact to begin with, and then they get underestimated in the long term because we get used to them.
2	These really are days of miracle and wonder.
3	You remember that wonderful song by Paul Simon?
4	There were two lines in it.
5	So what was it that was considered miraculous back then?
6	Slowing down things — slow motion — and the long-distance call.
7	"Because, of course, you used to get interrupted by operators who'd tell you, ""Long distance calling."
8	"Do you want to hang up?"""
9	And now we think nothing of calling all over the world.
10	Well, something similar may be happening with reading and programming life.
11	But before I unpack that, let's just talk about telescopes.
12	Telescopes were overestimated originally in their impact.
13	This is one of Galileo's early models.
14	People thought it was just going to ruin all religion.
15	(Laughter)
16	So we're not paying that much attention to telescopes.
17	But, of course, telescopes launched 10 years ago, as you just heard, could take this Volkswagen, fly it to the moon, and you could see the lights on that Volkswagen light up on the moon.
18	And that's the kind of resolution power that allowed you to see little specks of dust floating around distant suns.
19	Imagine for a second that this was a sun a billion light years away, and you had a little speck of dust that came in front of it.
20	That's what detecting an exoplanet is like.
21	And the cool thing is, the telescopes that are now being launched would allow you to see a single candle lit on the moon.
22	And if you separated it by one plate, you could see two candles separately at that distance.
23	And that's the kind of resolution that you need to begin to image that little speck of dust as it comes around the sun and see if it has a blue-green signature.
24	And if it does have a blue-green signature, it means that life is common in the universe.
25	The first time you ever see a blue-green signature on a distant planet, it means there's photosynthesis there, there's water there, and the chances that you saw the only other planet with photosynthesis are about zero.
26	And that's a calendar-changing event.
27	There's a before and after we were alone in the universe: forget about the discovery of whatever continent.
28	So as you're thinking about this, we're now beginning to be able to image most of the universe.
29	And that is a time of miracle and wonder.
30	And we kind of take that for granted.
31	Something similar is happening in life.
32	So we're hearing about life in these little bits and pieces.
33	We hear about CRISPR, and we hear about this technology, and we hear about this technology.
34	But the bottom line on life is that life turns out to be code.
35	And life as code is a really important concept because it means, just in the same way as you can write a sentence in English or in French or Chinese, just in the same way as you can copy a sentence, just in the same way as you can edit a sentence, just in the same way as you can print a sentence, you're beginning to be able to do that with life.
36	It means that we're beginning to learn how to read this language.
37	And this, of course, is the language that is used by this orange.
38	So how does this orange execute code?
39	It doesn't do it in ones and zeroes like a computer does.
40	It sits on a tree, and one day it does: plop!
41	And that means: execute.
42	AATCAAG: make me a little root.
43	TCGACC: make me a little stem.
44	GAC: make me some leaves.
45	AGC: make me some flowers.
46	And then GCAA: make me some more oranges.
47	If I edit a sentence in English on a word processor, then what happens is you can go from this word to that word.
48	If I edit something in this orange and put in GCAAC, using CRISPR or something else that you've heard of, then this orange becomes a lemon, or it becomes a grapefruit, or it becomes a tangerine.
49	And if I edit one in a thousand letters, you become the person sitting next to you today.
50	Be more careful where you sit.
51	(Laughter)
52	What's happening on this stuff is it was really expensive to begin with.
53	It was like long-distance calls.
54	But the cost of this is dropping 50 percent faster than Moore's law.
55	The first $200 full genome was announced yesterday by Veritas.
56	And so as you're looking at these systems, it doesn't matter, it doesn't matter, it doesn't matter, and then it does.
57	So let me just give you the map view of this stuff.
58	This is a big discovery.
59	There's 23 chromosomes.
60	Cool.
61	Let's now start using a telescope version, but instead of using a telescope, let's use a microscope to zoom in on the inferior of those chromosomes, which is the Y chromosome.
62	It's a third the size of the X.
63	It's recessive and mutant.
64	But hey, just a male.
65	And as you're looking at this stuff, here's kind of a country view at a 400 base pair resolution level, and then you zoom in to 550, and then you zoom in to 850, and you can begin to identify more and more genes as you zoom in.
66	Then you zoom in to the state level, and you can begin to tell who's got leukemia, how did they get leukemia, what kind of leukemia do they have, what shifted from what place to what place.
67	And then you zoom in to the Google street view level.
68	So this is what happens if you have colorectal cancer for a very specific patient on the letter-by-letter resolution.
69	So what we're doing in this stuff is we're gathering information and just generating enormous amounts of information.
70	This is one of the largest databases on the planet and it's growing faster than we can build computers to store it.
71	You can create some incredible maps with this stuff.
72	You want to understand the plague and why one plague is bubonic and the other one is a different kind of plague and the other one is a different kind of plague?
73	Well, here's a map of the plague.
74	Some are absolutely deadly to humans, some are not.
75	And note, by the way, as you go to the bottom of this, how does it compare to tuberculosis?
76	So this is the difference between tuberculosis and various kinds of plagues, and you can play detective with this stuff, because you can take a very specific kind of cholera that affected Haiti, and you can look at which country it came from, which region it came from, and probably which soldier took that from that African country to Haiti.
77	Zoom out.
78	It's not just zooming in.
79	This is one of the coolest maps ever done by human beings.
80	What they've done is taken all the genetic information they have about all the species, and they've put a tree of life on a single page that you can zoom in and out of.
81	So this is what came first, how did it diversify, how did it branch, how large is that genome, on a single page.
82	It's kind of the universe of life on Earth, and it's being constantly updated and completed.
83	And so as you're looking at this stuff, the really important change is the old biology used to be reactive.
84	You used to have a lot of biologists that had microscopes, and they had magnifying glasses and they were out observing animals.
85	The new biology is proactive.
86	You don't just observe stuff, you make stuff.
87	And that's a really big change because it allows us to do things like this.
88	And I know you're really excited by this picture.
89	(Laughter)
90	It only took us four years and 40 million dollars to be able to take this picture.
91	(Laughter)
92	And what we did is we took the full gene code out of a cell — not a gene, not two genes, the full gene code out of a cell — built a completely new gene code, inserted it into the cell, figured out a way to have the cell execute that code and built a completely new species.
93	So this is the world's first synthetic life form.
94	And so what do you do with this stuff?
95	Well, this stuff is going to change the world.
96	Let me give you three short-term trends in terms of how it's going to change the world.
97	The first is we're going to see a new industrial revolution.
98	And I actually mean that literally.
99	So in the same way as Switzerland and Germany and Britain changed the world with machines like the one you see in this lobby, created power — in the same way CERN is changing the world, using new instruments and our concept of the universe — programmable life forms are also going to change the world because once you can program cells in the same way as you program your computer chip, then you can make almost anything.
100	So your computer chip can produce photographs, can produce music, can produce film, can produce love letters, can produce spreadsheets.
101	It's just ones and zeroes flying through there.
102	If you can flow ATCGs through cells, then this software makes its own hardware, which means it scales very quickly.
103	No matter what happens, if you leave your cell phone by your bedside, you will not have a billion cell phones in the morning.
104	But if you do that with living organisms, you can make this stuff at a very large scale.
105	One of the things you can do is you can start producing close to carbon-neutral fuels on a commercial scale by 2025, which we're doing with Exxon.
106	But you can also substitute for agricultural lands.
107	Instead of having 100 hectares to make oils or to make proteins, you can make it in these vats at 10 or 100 times the productivity per hectare.
108	Or you can store information, or you can make all the world's vaccines in those three vats.
109	Or you can store most of the information that's held at CERN in those three vats.
110	DNA is a really powerful information storage device.
111	Second turn: you're beginning to see the rise of theoretical biology.
112	So, medical school departments are one of the most conservative places on earth.
113	The way they teach anatomy is similar to the way they taught anatomy 100 years ago.
114	"""Welcome, student."
115	"Here's your cadaver."""
116	One of the things medical schools are not good at is creating new departments, which is why this is so unusual.
117	Isaac Kohane has now created a department based on informatics, data, knowledge at Harvard Medical School.
118	And in a sense, what's beginning to happen is biology is beginning to get enough data that it can begin to follow the steps of physics, which used to be observational physics and experimental physicists, and then started creating theoretical biology.
119	Well, that's what you're beginning to see because you have so many medical records, because you have so much data about people: you've got their genomes, you've got their viromes, you've got their microbiomes.
120	And as this information stacks, you can begin to make predictions.
121	The third thing that's happening is this is coming to the consumer.
122	So you, too, can get your genes sequenced.
123	And this is beginning to create companies like 23andMe, and companies like 23andMe are going to be giving you more and more and more data, not just about your relatives, but about you and your body, and it's going to compare stuff, and it's going to compare stuff across time, and these are going to become very large databases.
124	But it's also beginning to affect a series of other businesses in unexpected ways.
125	Normally, when you advertise something, you really don't want the consumer to take your advertisement into the bathroom to pee on.
126	Unless, of course, if you're IKEA.
127	Because when you rip this out of a magazine and you pee on it, it'll turn blue if you're pregnant.
128	(Laughter)
129	And they'll give you a discount on your crib.
130	(Laughter)
131	Right?
132	So when I say consumer empowerment, and this is spreading beyond biotech, I actually really mean that.
133	We're now beginning to produce, at Synthetic Genomics, desktop printers that allow you to design a cell, print a cell, execute the program on the cell.
134	We can now print vaccines real time as an airplane takes off before it lands.
135	We're shipping 78 of these machines this year.
136	This is not theoretical biology.
137	This is printing biology.
138	Let me talk about two long-term trends that are coming at you over a longer time period.
139	The first one is, we're starting to redesign species.
140	And you've heard about that, right?
141	We're redesigning trees.
142	We're redesigning flowers.
143	We're redesigning yogurt, cheese, whatever else you want.
144	And that, of course, brings up the interesting question: How and when should we redesign humans?
145	"And a lot of us think, ""Oh no, we never want to redesign humans."""
146	Unless, of course, if your child has a Huntington's gene and is condemned to death.
147	Or, unless if you're passing on a cystic fibrosis gene, in which case, you don't just want to redesign yourself, you want to redesign your children and their children.
148	And these are complicated debates and they're going to happen in real time.
149	I'll give you one current example.
150	One of the debates going on at the National Academies today is you have the power to put a gene drive into mosquitoes so that you will kill all the malaria-carrying mosquitoes.
151	"Now, some people say, ""That's going to affect the environment in an extreme way, don't do it."""
152	"Other people say, ""This is one of the things that's killing millions of people yearly."
153	"Who are you to tell me that I can't save the kids in my country?"""
154	And why is this debate so complicated?
155	Because as soon as you let this loose in Brazil or in Southern Florida — mosquitoes don't respect walls.
156	You're making a decision for the world when you put a gene drive into the air.
157	This wonderful man won a Nobel Prize, and after winning the Nobel Prize he's been worrying about how did life get started on this planet and how likely is it that it's in other places?
158	"So what he's been doing is going around to this graduate students and saying to his graduate students, ""Build me life but don't use any modern chemicals or instruments."
159	Build me stuff that was here three billion years ago.
160	You can't use lasers.
161	You can't use this.
162	"You can't use that."""
163	He gave me a vial of what he's built about three weeks ago.
164	What has he built?
165	He's built basically what looked like soap bubbles that are made out of lipids.
166	He's built a precursor of RNA.
167	He's had the precursor of the RNA be absorbed by the cell and then he's had the cells divide.
168	We may not be that far — call it a decade, maybe two decades — from generating life from scratch out of proto-communities.
169	Second long-term trend: we've been living and are living through the digital age — we're starting to live through the age of the genome and biology and CRISPR and synthetic biology — and all of that is going to merge into the age of the brain.
