	en
0	Human origins.
1	Who are we?
2	Where do we come from, and how do we know?
3	"In my field, paleoanthropology, we explore human origins — the ""who"" and ""where"" questions — by analyzing fossils that date back thousands and even millions of years."
4	In 2015, a team of colleagues and I named a new species in the genus Homo — our genus — Homo naledi.
5	Let's take a step back and put that into context.
6	The last common ancestors between humans and chimps date somewhere between six and eight million years.
7	The earliest hominins, or earliest human ancestors, evolved into a group known as the australopithecines.
8	The australopithecines evolved into the genus Homo and eventually modern humans — us.
9	With each new fossil discovery, we get a little bit closer to better understanding who we are and where we came from.
10	With these new fossil finds, we realize we now have to make changes to this tree.
11	Until this discovery, we thought we had a pretty good idea about the patterns of evolutionary change.
12	Current fossil evidence suggests that the earliest populations of the genus Homo evolved in Africa somewhere between two and three million years.
13	Fast-forward to approximately 300,000 years to where we see the origins of the first modern humans.
14	While the fossil record between these time frames in Africa is relatively sparse, the fossils nonetheless demonstrated certain trends from our earliest ancestors to modern humans.
15	For example, our brains were becoming larger relative the rest of our body.
16	Our pelves were becoming more bowl-shaped, and our hand-wrist morphology, or form, suggested a change in our grip as we began to make and use stone tools and spend less time in the trees.
17	These new fossils disrupt everything we thought we knew about these trends and force us to change the way that we think about human evolution.
18	South Africa in general, but the Cradle of Humankind in particular, contains numerous sites where hundreds of thousands of fossils have been found.
19	As an undergraduate student, I fell in love with one of them ... Mrs. Ples.
20	The skull of a 2.1-million-year-old early human ancestor.
21	From that point on, I was determined to go to South Africa and study human evolution.
22	I first traveled there in 2003, and I did get to see my beloved Mrs. Ples.
23	(Laughter)
24	But words can hardly convey my excitement when I was chosen as an early career scientist by Lee Berger, a world-renowned paleoanthropologist, to be one of the primary analysts of recently excavated unpublished fossils.
25	This treasure trove of fossils was being recovered from a new site called the Dinaledi Chamber in the Rising Star cave system.
26	Species are often named based on a skull, a lower jaw, or, very rarely, a handful of postcranial, or below-the-neck, elements.
27	The fossils from Dinaledi were another story altogether.
28	An unprecedented approximately 1800 specimens — so far — have been excavated from the Rising Star system, representing at least 15 individual skeletons.
29	The research team that I was invited to join was tasked with describing, comparing and analyzing the fossils, with the difficult goal of identifying to what species the fossils belonged.
30	We were divided up into our different areas of expertise.
31	We were divided up in different areas of the lab, too.
32	"So there was ""Hand Land,"" for the fossil hand people, ""Hip Heaven"" for the pelvis ..."
33	"I was in the ""Tooth Booth."""
34	(Laughter)
35	And after long, intense days in the lab, the different teams would meet up at night and discuss our findings, still consumed by questions from our analyses.
36	It was incredible how different the interpretations were.
37	Each body part seemed to come from a different species, based on what we knew from the fossil record.
38	The suite of characteristics we were seeing didn't match any known species.
39	And if we had only recovered the skull, we might have called it one thing; if we had only recovered the pelvis, we might have called it another.
40	The anatomy of the skeletons didn't make sense with the framework of what we thought we knew of human evolution.
41	Did it belong in the genus Homo?
42	Should it be an australopithecine?
43	Those bipedal, more apelike ancestors?
44	Or perhaps it should be its own species.
45	"Ultimately, after much deliberation, we decided the Rising Star specimens did indeed warrant a new species, which we called ""Homo naledi."""
46	From the head to the feet, the fossils present a mosaic of primitive, or ancestral, and derived or more modern-like features.
47	The skull is quite derived, appearing most similar to early representatives of the genus Homo, like Homo habilis and Homo erectus.
48	However, the brain is scarcely half the size of a modern human one.
49	One that is smaller than any other early Homo that has ever been found.
50	As someone who studies teeth, I might argue these are the coolest fossils found at the site.
51	(Laughter)
52	The assemblage consists of 190 whole or fragmentary teeth that range in age from very old to very young.
53	Like the skeletons, the teeth present a mix of primitive and derived traits.
54	In modern humans, the third molar is typically the smallest, while the first molar is the biggest, but Homo naledi has the primitive condition where the third molar is the biggest and the first molar is the smallest.
55	The anterior teeth, or the incisors and canines, are small for the genus Homo, and the lower canine has a cuspulid on it — an extra cuspule that gives it a distinct mitten-like shape that it shares with some specimens of the early human, Homo erectus.
56	The overall shape of the teeth looked odd to me, so I performed crown-shape analysis on the occlusal surfaces of deciduous teeth, or baby teeth — on your left — and the permanent premolars and molars on your right.
57	The deciduous teeth are especially narrow, and the premolars are unique in their outline shape compared to other hominids.
58	In fact, when I compare the outlines, when I lay them on top of each other, they look very similar.
59	"We say they have ""low intraspecific variations,"" so the variation within the species is low."
60	When I compare this to groups like the australopithecines, the intraspecific variation is much larger.
