	en
0	When I was a kid, I was afraid of the dark.
1	The darkness is where the monsters are.
2	And I had this little night light outside of my bedroom so that it would never get too dark.
3	But over time, my fear of the dark turned to curiosity.
4	"What is out there in the ""dark-dark?"""
5	And it turns out that trying to understand the darkness is something that's fascinated humans for thousands of years, maybe forever.
6	And we know this because we find their ancient relics of their attempts to map the sky.
7	This tusk is over 30,000 years old.
8	Some people think that it's a carving of Orion or maybe a calendar.
9	We don't know.
10	The Fuxi star map is over 6,000 years old, and it's from a neolithic tomb in ancient China.
11	And that little pile of clamshells underneath the dead guy's foot in the middle — that's supposed to be the Big Dipper.
12	Maybe.
13	The Nebra disk is uncontroversial.
14	You don't have to be an astronomer to know that you're looking at the Moon phases or the Sun in eclipse.
15	And that little group of seven stars, that's the Pleiades, the Seven Sisters.
16	But in any case, the point is clear: astronomers have been mapping the sky for a long time.
17	Why?
18	It's our calling card as a species in the galaxy to figure things out.
19	We know our planet, we cure our diseases, we cook our food, we leave our planet.
20	But it's not easy.
21	Understanding the universe is battle.
22	It is unrelenting, it is time-varying, and it is one we are all in together.
23	It is a battle in the darkness against the darkness.
24	Which is why Orion has weapons.
25	In any case, if you're going to engage in this battle, you need to know the battlefield.
26	So at its core, mapping the sky involves three essential elements.
27	You've got objects that are giving off light, you've got telescopes that are collecting that light, and you've got instruments that are helping you understand what that light is.
28	Many of you have mapped the Moon phases over time with your eyes, your eyes being your more basic telescope.
29	And you've understood what that means with your brains, your brains being one of your more basic instruments.
30	Now, if you and a buddy get together, you would spend over 30 years, you would map 1,000 stars extremely precisely.
31	You would move the front line to the battle.
32	And that's what Tycho Brahe and his buddy, or his assistant, really, Johannes Kepler did back in the 1600s.
33	And they moved the line, figured out how planets worked, how they moved around the Sun.
34	But it wasn't until about 100 years ago that we realized it's a big universe.
35	It seems like the universe is just infinite, which it is, but the observable universe is finite.
36	Which means we can win the battle.
37	But if you're going to map the universe, you're not going to do it with one or two of your besties.
38	Mapping the universe takes an army, an army of curious, creative, craftspeople who, working together, can accomplish the extraordinary.
39	I lead this army of creatives, in the fifth generation of the Sloan Digital Sky Survey, SDSS.
40	And this is how astronomers have managed to shepherd individual curiosity through its industrial age, preserving the individual ability to make discoveries but putting into place mega machinery to truly advance the frontier.
41	In SDSS, we divide the sky into three mappers: one for the stars, one for the black holes and one for the galaxies.
