	en
0	How many decisions have been made about you today, or this week or this year, by artificial intelligence?
1	I build AI for a living so, full disclosure, I'm kind of a nerd.
2	And because I'm kind of a nerd, wherever some new news story comes out about artificial intelligence stealing all our jobs, or robots getting citizenship of an actual country, I'm the person my friends and followers message freaking out about the future.
3	We see this everywhere.
4	This media panic that our robot overlords are taking over.
5	We could blame Hollywood for that.
6	But in reality, that's not the problem we should be focusing on.
7	There is a more pressing danger, a bigger risk with AI, that we need to fix first.
8	So we are back to this question: How many decisions have been made about you today by AI?
9	And how many of these were based on your gender, your race or your background?
10	Algorithms are being used all the time to make decisions about who we are and what we want.
11	Some of the women in this room will know what I'm talking about if you've been made to sit through those pregnancy test adverts on YouTube like 1,000 times.
12	Or you've scrolled past adverts of fertility clinics on your Facebook feed.
13	Or in my case, Indian marriage bureaus.
14	(Laughter)
15	But AI isn't just being used to make decisions about what products we want to buy or which show we want to binge watch next.
16	"I wonder how you'd feel about someone who thought things like this: ""A black or Latino person is less likely than a white person to pay off their loan on time."""
17	"""A person called John makes a better programmer than a person called Mary."""
18	"""A black man is more likely to be a repeat offender than a white man."""
19	"You're probably thinking, ""Wow, that sounds like a pretty sexist, racist person,"" right?"
20	These are some real decisions that AI has made very recently, based on the biases it has learned from us, from the humans.
21	AI is being used to help decide whether or not you get that job interview; how much you pay for your car insurance; how good your credit score is; and even what rating you get in your annual performance review.
22	But these decisions are all being filtered through its assumptions about our identity, our race, our gender, our age.
23	How is that happening?
24	Now, imagine an AI is helping a hiring manager find the next tech leader in the company.
25	So far, the manager has been hiring mostly men.
26	So the AI learns men are more likely to be programmers than women.
27	And it's a very short leap from there to: men make better programmers than women.
28	We have reinforced our own bias into the AI.
29	And now, it's screening out female candidates.
30	Hang on, if a human hiring manager did that, we'd be outraged, we wouldn't allow it.
31	This kind of gender discrimination is not OK. And yet somehow, AI has become above the law, because a machine made the decision.
32	That's not it.
33	We are also reinforcing our bias in how we interact with AI.
34	How often do you use a voice assistant like Siri, Alexa or even Cortana?
35	They all have two things in common: one, they can never get my name right, and second, they are all female.
36	They are designed to be our obedient servants, turning your lights on and off, ordering your shopping.
37	You get male AIs too, but they tend to be more high-powered, like IBM Watson, making business decisions, Salesforce Einstein or ROSS, the robot lawyer.
38	So poor robots, even they suffer from sexism in the workplace.
39	(Laughter)
40	Think about how these two things combine and affect a kid growing up in today's world around AI.
41	So they're doing some research for a school project and they Google images of CEO.
42	The algorithm shows them results of mostly men.
43	And now, they Google personal assistant.
44	As you can guess, it shows them mostly females.
45	And then they want to put on some music, and maybe order some food, and now, they are barking orders at an obedient female voice assistant.
46	Some of our brightest minds are creating this technology today.
47	Technology that they could have created in any way they wanted.
48	"And yet, they have chosen to create it in the style of 1950s ""Mad Man"" secretary."
49	Yay!
50	But OK, don't worry, this is not going to end with me telling you that we are all heading towards sexist, racist machines running the world.
51	The good news about AI is that it is entirely within our control.
52	We get to teach the right values, the right ethics to AI.
53	So there are three things we can do.
54	One, we can be aware of our own biases and the bias in machines around us.
55	Two, we can make sure that diverse teams are building this technology.
56	And three, we have to give it diverse experiences to learn from.
57	I can talk about the first two from personal experience.
58	When you work in technology and you don't look like a Mark Zuckerberg or Elon Musk, your life is a little bit difficult, your ability gets questioned.
59	Here's just one example.
60	Like most developers, I often join online tech forums and share my knowledge to help others.
61	"And I've found, when I log on as myself, with my own photo, my own name, I tend to get questions or comments like this: ""What makes you think you're qualified to talk about AI?"""
62	"""What makes you think you know about machine learning?"""
63	So, as you do, I made a new profile, and this time, instead of my own picture, I chose a cat with a jet pack on it.
64	And I chose a name that did not reveal my gender.
65	You can probably guess where this is going, right?
66	So, this time, I didn't get any of those patronizing comments about my ability and I was able to actually get some work done.
67	And it sucks, guys.
68	I've been building robots since I was 15, I have a few degrees in computer science, and yet, I had to hide my gender in order for my work to be taken seriously.
69	So, what's going on here?
70	Are men just better at technology than women?
71	Another study found that when women coders on one platform hid their gender, like myself, their code was accepted four percent more than men.
72	So this is not about the talent.
73	This is about an elitism in AI that says a programmer needs to look like a certain person.
74	What we really need to do to make AI better is bring people from all kinds of backgrounds.
75	We need people who can write and tell stories to help us create personalities of AI.
76	We need people who can solve problems.
77	We need people who face different challenges and we need people who can tell us what are the real issues that need fixing and help us find ways that technology can actually fix it.
78	Because, when people from diverse backgrounds come together, when we build things in the right way, the possibilities are limitless.
79	And that's what I want to end by talking to you about.
80	Less racist robots, less machines that are going to take our jobs — and more about what technology can actually achieve.
81	So, yes, some of the energy in the world of AI, in the world of technology is going to be about what ads you see on your stream.
82	But a lot of it is going towards making the world so much better.
83	Think about a pregnant woman in the Democratic Republic of Congo, who has to walk 17 hours to her nearest rural prenatal clinic to get a checkup.
84	What if she could get diagnosis on her phone, instead?
85	Or think about what AI could do for those one in three women in South Africa who face domestic violence.
86	If it wasn't safe to talk out loud, they could get an AI service to raise alarm, get financial and legal advice.
87	These are all real examples of projects that people, including myself, are working on right now, using AI.
88	So, I'm sure in the next couple of days there will be yet another news story about the existential risk, robots taking over and coming for your jobs.
89	(Laughter)
90	And when something like that happens, I know I'll get the same messages worrying about the future.
91	But I feel incredibly positive about this technology.
92	This is our chance to remake the world into a much more equal place.
93	But to do that, we need to build it the right way from the get go.
94	We need people of different genders, races, sexualities and backgrounds.
95	We need women to be the makers and not just the machines who do the makers' bidding.
96	We need to think very carefully what we teach machines, what data we give them, so they don't just repeat our own past mistakes.
97	So I hope I leave you thinking about two things.
98	First, I hope you leave thinking about bias today.
99	And that the next time you scroll past an advert that assumes you are interested in fertility clinics or online betting websites, that you think and remember that the same technology is assuming that a black man will reoffend.
100	Or that a woman is more likely to be a personal assistant than a CEO.
101	And I hope that reminds you that we need to do something about it.
102	And second, I hope you think about the fact that you don't need to look a certain way or have a certain background in engineering or technology to create AI, which is going to be a phenomenal force for our future.
103	You don't need to look like a Mark Zuckerberg, you can look like me.
104	And it is up to all of us in this room to convince the governments and the corporations to build AI technology for everyone, including the edge cases.
105	And for us all to get education about this phenomenal technology in the future.
106	Because if we do that, then we've only just scratched the surface of what we can achieve with AI.
107	Thank you.
108	(Applause)
