	en
0	I get out of bed for two reasons.
1	One, small-scale family farmers need more food.
2	It's crazy that in 2019 farmers that feed us are hungry.
3	And two, science needs to be more diverse and inclusive.
4	If we're going to solve the toughest challenges on the planet, like food insecurity for the millions living in extreme poverty, it's going to take all of us.
5	I want to use the latest technology with the most diverse and inclusive teams on the planet to help farmers have more food.
6	I'm a computational biologist.
7	I know — what is that and how is it going to help end hunger?
8	Basically, I like computers and biology and somehow, putting that together is a job.
9	(Laughter)
10	I don't have a story of wanting to be a biologist from a young age.
11	The truth is, I played basketball in college.
12	And part of my financial aid package was I needed a work-study job.
13	So one random day, I wandered to the nearest building to my dorm room.
14	And it just so happens it was the biology building.
15	I went inside and looked at the job board.
16	Yes, this is pre-the-internet.
17	And I saw a three-by-five card advertising a job to work in the herbarium.
18	"I quickly took down the number, because it said ""flexible hours,"" and I needed that to work around my basketball schedule."
19	I ran to the library to figure out what an herbarium was.
20	(Laughter)
21	And it turns out an herbarium is where they store dead, dried plants.
22	I was lucky to land the job.
23	So my first scientific job was gluing dead plants onto paper for hours on end.
24	(Laughter)
25	It's so glamorous.
26	This is how I became a computational biologist.
27	During that time, genomics and computing were coming of age.
28	And I went on to do my masters combining biology and computers.
29	During that time, I worked at Los Alamos National Lab in the theoretical biology and biophysics group.
30	And it was there I had my first encounter with the supercomputer, and my mind was blown.
31	With the power of supercomputing, which is basically thousands of connected PCs on steroids, we were able to uncover the complexities of influenza and hepatitis C. And it was during this time that I saw the power of using computers and biology combined, for humanity.
32	And I wanted this to be my career path.
33	So, since 1999, I've spent the majority of my scientific career in very high-tech labs, surrounded by really expensive equipment.
34	So many ask me how and why do I work for farmers in Africa.
35	Well, because of my computing skills, in 2013, a team of East African scientists asked me to join the team in the plight to save cassava.
36	Cassava is a plant whose leaves and roots feed 800 million people globally.
37	And 500 million in East Africa.
38	So that's nearly a billion people relying on this plant for their daily calories.
39	If a small-scale family farmer has enough cassava, she can feed her family and she can sell it at the market for important things like school fees, medical expenses and savings.
40	But cassava is under attack in Africa.
41	Whiteflies and viruses are devastating cassava.
42	Whiteflies are tiny insects that feed on the leaves of over 600 plants.
43	They are bad news.
44	There are many species; they become pesticide resistant; and they transmit hundreds of plant viruses that cause cassava brown streak disease and cassava mosaic disease.
45	This completely kills the plant.
46	And if there's no cassava, there's no food or income for millions of people.
47	It took me one trip to Tanzania to realize that these women need some help.
