	en
0	So, there's about seven and a half billion of us.
1	The World Health Organization tells us that 300 million of us are depressed, and about 800,000 people take their lives every year.
2	A tiny subset of them choose a profoundly nihilistic route, which is they die in the act of killing as many people as possible.
3	These are some famous recent examples.
4	And here's a less famous one.
5	It happened about nine weeks ago.
6	If you don't remember it, it's because there's a lot of this going on.
7	Wikipedia just last year counted 323 mass shootings in my home country, the United States.
8	Not all of those shooters were suicidal, not all of them were maximizing their death tolls, but many, many were.
9	An important question becomes: What limits do these people have?
10	Take the Vegas shooter.
11	He slaughtered 58 people.
12	Did he stop there because he'd had enough?
13	No, and we know this because he shot and injured another 422 people who he surely would have preferred to kill.
14	We have no reason to think he would have stopped at 4,200.
15	In fact, with somebody this nihilistic, he may well have gladly killed us all.
16	We don't know.
17	What we do know is this: when suicidal murderers really go all in, technology is the force multiplier.
18	Here's an example.
19	Several years back, there was a rash of 10 mass school attacks in China carried out with things like knives and hammers and cleavers, because guns are really hard to get there.
20	By macabre coincidence, this last attack occurred just hours before the massacre in Newtown, Connecticut.
21	But that one American attack killed roughly the same number of victims as the 10 Chinese attacks combined.
22	So we can fairly say, knife: terrible; gun: way worse.
23	And airplane: massively worse, as pilot Andreas Lubitz showed when he forced 149 people to join him in his suicide, smashing a plane into the French Alps.
24	And there are other examples of this.
25	And I'm afraid there are far more deadly weapons in our near future than airplanes, ones not made of metal.
26	So let's consider the apocalyptic dynamics that will ensue if suicidal mass murder hitches a ride on a rapidly advancing field that for the most part holds boundless promise for society.
27	Somewhere out there in the world, there's a tiny group of people who would attempt, however ineptly, to kill us all if they could just figure out how.
28	The Vegas shooter may or may not have been one of them, but with seven and a half billion of us, this is a nonzero population.
29	There's plenty of suicidal nihilists out there.
30	We've already seen that.
31	There's people with severe mood disorders that they can't even control.
32	There are people who have just suffered deranging traumas, etc.
33	etc.
34	As for the corollary group, its size was simply zero forever until the Cold War, when suddenly, the leaders of two global alliances attained the ability to blow up the world.
35	The number of people with actual doomsday buttons has stayed fairly stable since then.
36	But I'm afraid it's about to grow, and not just to three.
