	en
0	This is Henry, a cute boy, and when Henry was three, his mom found him having some febrile seizures.
1	"Febrile seizures are seizures that occur when you also have a fever, and the doctor said, ""Don't worry too much."
2	"Kids usually outgrow these."""
3	When he was four, he had a convulsive seizure, the kind that you lose consciousness and shake — a generalized tonic-clonic seizure — and while the diagnosis of epilepsy was in the mail, Henry's mom went to get him out of bed one morning, and as she went in his room, she found his cold, lifeless body.
4	Henry died of SUDEP, sudden unexpected death in epilepsy.
5	I'm curious how many of you have heard of SUDEP.
6	This is a very well-educated audience, and I see only a few hands.
7	SUDEP is when an otherwise healthy person with epilepsy dies and they can't attribute it to anything they can find in an autopsy.
8	There is a SUDEP every seven to nine minutes.
9	That's on average two per TED Talk.
10	Now, a normal brain has electrical activity.
11	You can see some of the electrical waves coming out of this picture of a brain here.
12	And these should look like typical electrical activity that an EEG could read on the surface.
13	When you have a seizure, it's a bit of unusual electrical activity, and it can be focal.
14	It can take place in just a small part of your brain.
15	When that happens, you might have a strange sensation.
16	Several could be happening here in the audience right now, and the person next to you might not even know.
17	However, if you have a seizure where that little brush fire spreads like a forest fire over the brain, then it generalizes, and that generalized seizure takes your consciousness away and causes you to convulse.
18	There are more SUDEPs in the United States every year than sudden infant death syndrome.
19	Now, how many of you have heard of sudden infant death syndrome?
20	Right?
21	Pretty much every hand goes up.
22	So what's going on here?
23	Why is this so much more common and yet people haven't heard of it?
24	And what can you do to prevent it?
25	Well, there are two things, scientifically shown, that prevent or reduce the risk of SUDEP.
26	"The first is: ""Follow your doctor's instructions, take your medications."""
27	Two-thirds of people who have epilepsy get it under control with their medications.
28	The second thing that reduces the risk of SUDEP is companionship.
29	It's having somebody there at the time that you have a seizure.
30	Now, SUDEP, even though most of you have never heard of it, is actually the number two cause of years of potential life lost of all neurological disorders.
31	The vertical axis is the number of deaths times the remaining life span, so higher is much worse impact.
32	SUDEP, however, unlike these others, is something that people right here could do something to push that down.
33	Now, what is Roz Picard, an AI researcher, doing here telling you about SUDEP, right?
34	I'm not a neurologist.
35	When I was working at the Media Lab on measurement of emotion, trying to make our machines more intelligent about our emotions, we started doing a lot of work measuring stress.
36	We built lots of sensors that measured it in lots of different ways.
37	But one of them in particular grew out of some of this very old work with measuring sweaty palms with an electrical signal.
38	This is a signal of skin conductance that's known to go up when you get nervous, but it turns out it also goes up with a lot of other interesting conditions.
39	But measuring it with wires on your hand is really inconvenient.
40	So we invented a bunch of other ways of doing this at the MIT Media Lab.
41	And with these wearables, we started to collect the first-ever clinical quality data 24-7.
42	Here's a picture of what that looked like the first time an MIT student collected skin conductance on the wrist 24-7.
43	Let's zoom in a little bit here.
44	What you see is 24 hours from left to right, and here is two days of data.
45	And first, what surprised us was sleep was the biggest peak of the day.
46	Now, that sounds broken, right?
47	You're calm when you're asleep, so what's going on here?
48	Well, it turns out that our physiology during sleep is very different than our physiology during wake, and while there's still a bit of a mystery why these peaks are usually the biggest of the day during sleep, we now believe they're related to memory consolidation and memory formation during sleep.
49	We also saw things that were exactly what we expected.
50	When an MIT student is working hard in the lab or on homeworks, there is not only emotional stress, but there's cognitive load, and it turns out that cognitive load, cognitive effort, mental engagement, excitement about learning something — those things also make the signal go up.
51	Unfortunately, to the embarrassment of we MIT professors,
52	(Laughter)
53	the low point every day is classroom activity.
54	Now, I am just showing you one person's data here, but this, unfortunately, is true in general.
55	"This sweatband has inside it a homebuilt skin-conductance sensor, and one day, one of our undergrads knocked on my door right at the end of the December semester, and he said, ""Professor Picard, can I please borrow one of your wristband sensors?"
56	"My little brother has autism, he can't talk, and I want to see what's stressing him out."""
57	"And I said, ""Sure, in fact, don't just take one, take two,"" because they broke easily back then."
58	So he took them home, he put them on his little brother.
59	"Now, I was back in MIT, looking at the data on my laptop, and the first day, I thought, ""Hmm, that's odd, he put them on both wrists instead of waiting for one to break."
60	"OK, fine, don't follow my instructions."""
61	I'm glad he didn't.
62	Second day — chill.
63	Looked like classroom activity.
64	(Laughter)
65	A few more days ahead.
66	"The next day, one wrist signal was flat and the other had the biggest peak I've ever seen, and I thought, ""What's going on?"
67	We've stressed people out at MIT every way imaginable.
68	"I've never seen a peak this big."""
69	And it was only on one side.
70	How can you be stressed on one side of your body and not the other?
71	So I thought one or both sensors must be broken.
72	Now, I'm an electroengineer by training, so I started a whole bunch of stuff to try to debug this, and long story short, I could not reproduce this.
73	So I resorted to old-fashioned debugging.
74	I called the student at home on vacation.
75	"""Hi, how's your little brother?"
76	How's your Christmas?
77	"Hey, do you have any idea what happened to him?"""
78	And I gave this particular date and time, and the data.
79	"And he said, ""I don't know, I'll check the diary."""
80	Diary?
81	An MIT student keeps a diary?
82	So I waited and he came back.
83	"He had the exact date and time, and he says, ""That was right before he had a grand mal seizure."""
84	Now, at the time, I didn't know anything about epilepsy, and did a bunch of research, realized that another student's dad is chief of neurosurgery at Children's Hospital Boston, screwed up my courage and called Dr. Joe Madsen.
85	"""Hi, Dr. Madsen, my name's Rosalind Picard."
86	"Is it possible somebody could have a huge sympathetic nervous system surge"" — that's what drives the skin conductance — ""20 minutes before a seizure?"""
87	"And he says, ""Probably not."""
88	"He says, ""It's interesting."
89	"We've had people whose hair stands on end on one arm 20 minutes before a seizure."""
90	"And I'm like, ""On one arm?"""
91	I didn't want to tell him that, initially, because I thought this was too ridiculous.
92	He explained how this could happen in the brain, and he got interested.
93	I showed him the data.
94	We made a whole bunch more devices, got them safety certified.
95	90 families were being enrolled in a study, all with children who were going to be monitored 24-7 with gold-standard EEG on their scalp for reading the brain activity, video to watch the behavior, electrocardiogram — ECG — and now EDA, electrodermal activity, to see if there was something in this periphery that we could easily pick up, related to a seizure.
96	We found, in 100 percent of the first batch of grand mal seizures, this whopper of responses in the skin conductance.
97	The blue in the middle, the boy's sleep, is usually the biggest peak of the day.
98	These three seizures you see here are popping out of the forest like redwood trees.
99	Furthermore, when you couple the skin conductance at the top with the movement from the wrist and you get lots of data and train machine learning and AI on it, you can build an automated AI that detects these patterns much better than just a shake detector can do.
100	So we realized that we needed to get this out, and with the PhD work of Ming-Zher Poh and later great improvements by Empatica, this has made progress and the seizure detection is much more accurate.
101	But we also learned some other things about SUDEP during this.
102	One thing we learned is that SUDEP, while it's rare after a generalized tonic-clonic seizure, that's when it's most likely to happen — after that type.
103	And when it happens, it doesn't happen during the seizure, and it doesn't usually happen immediately afterwards, but immediately afterwards, when the person just seems very still and quiet, they may go into another phase, where the breathing stops, and then after the breathing stops, later the heart stops.
104	So there's some time to get somebody there.
105	We also learned that there is a region deep in the brain called the amygdala, which we had been studying in our emotion research a lot.
106	We have two amygdalas, and if you stimulate the right one, you get a big right skin conductance response.
107	Now, you have to sign up right now for a craniotomy to get this done, not exactly something we're going to volunteer to do, but it causes a big right skin conductance response.
108	Stimulate the left one, big left skin conductance response on the palm.
