	en
0	The world today has many problems.
1	And they're all very complicated and interconnected and difficult.
2	But there is something we can do.
3	I believe that girls' education is the closest thing we have to a silver bullet to help solve some of the world's most difficult problems.
4	But you don't have to take my word for it.
5	The World Bank says that girls' education is one of the best investments that a country can make.
6	It helps to positively impact nine of the 17 Sustainable Development Goals.
7	Everything from health, nutrition, employment — all of these are positively impacted when girls are educated.
8	Additionally, climate scientists have recently rated girls' education at number six out of 80 actions to reverse global warming.
9	At number six, it's rated higher than solar panels and electric cars.
10	And that's because when girls are educated, they have smaller families, and the resulting reduction in population reduces carbon emissions significantly.
11	But more than that, you know, it's a problem we have to solve once.
12	Because an educated mother is more than twice as likely to educate her children.
13	Which means that by doing it once, we can close the gender and literacy gap forever.
14	I work in India, which has made incredible progress in bringing elementary education for all.
15	However, we still have four million out-of-school girls, one of the highest in the world.
16	And girls are out of school because of, obviously poverty, social, cultural factors.
17	But there's also this underlying factor of mindset.
18	I have met a girl whose name was Naraaz Nath.
19	Naaraaz means angry.
20	"And when I asked her, ""Why is your name 'angry'?"""
21	"she said, ""Because everybody was so angry when a girl was born."""
22	Another girl called Antim Bala, which means the last girl.
23	Because everybody hoped that would be the last girl to be born.
24	A girl called Aachuki.
25	It means somebody who has arrived.
26	Not wanted, but arrived.
27	And it is this mindset that keeps girls from school or completing their education.
28	It's this belief that a goat is an asset and a girl is a liability.
29	My organization Educate Girls works to change this.
30	And we work in some of the most difficult, rural, remote and tribal villages.
31	And how do we do it?
32	We first and foremost find young, passionate, educated youth from the same villages.
33	Both men and women.
34	And we call them Team Balika, balika just means the girl child, so this is a team that we are creating for the girl child.
35	And so once we recruit our community volunteers, we train them, we mentor them, we hand-hold them.
36	That's when our work starts.
37	And the first piece we do is about identifying every single girl who's not going to school.
38	But the way we do it is a little different and high-tech, at least in my view.
39	Each of our frontline staff have a smartphone.
40	It has its own Educate Girls app.
41	And this app has everything that our team needs.
42	It has digital maps of where they're going to be conducting the survey, it has the survey in it, all the questions, little guides on how best to conduct the survey, so that the data that comes to us is in real time and is of good quality.
43	So armed with this, our teams and our volunteers go door-to-door to every single household to find every single girl who may either we never enrolled or dropped out of school.
44	And because we have this data and technology piece, very quickly we can figure out who the girls are and where they are.
45	Because each of our villages are geotagged, and we can actually build that information out very, very quickly.
46	And so once we know where the girls are, we actually start the process of bringing them back into school.
47	And that actually is just our community mobilization process, it starts with village meetings, neighborhood meetings, and as you see, individual counseling of parents and families, to be able to bring the girls back into school.
48	And this can take anything from a few weeks to a few months.
49	And once we bring the girls into the school system, we also work with the schools to make sure that schools have all the basic infrastructure so that the girls will be able to stay.
50	And this would include a separate toilet for girls, drinking water, things that will help them to be retained.
51	But all of this would be useless if our children weren't learning.
52	So we actually run a learning program.
53	And this is a supplementary learning program, and it's very, very important, because most of our children are first-generation learners.
54	That means there's nobody at home to help them with homework, there's nobody who can support their education.
55	Their parents can't read and write.
56	So it's really, really key that we do the support of the learning in the classrooms.
57	So this is essentially our model, in terms of finding, bringing the girls in, making sure that they're staying and learning.
58	And we know that our model works.
59	And we know this because a most recent randomized control evaluation confirms its efficacy.
60	Our evaluator found that over a three-year period Educate Girls was able to bring back 92 percent of all out-of-school girls back into school.
61	(Applause)
62	And in terms of learning, our children's learning went up significantly as compared to control schools.
63	So much so, that it was like an additional year of schooling for the average student.
64	And that's enormous, when you think about a tribal child who's entering the school system for the first time.
65	So here we have a model that works; we know it's scalable, because we are already functioning at 13,000 villages.
66	We know it's smart, because of the use of data and technology.
67	We know that it's sustainable and systemic, because we work in partnership with the community, it's actually led by the community.
68	And we work in partnership with the government, so there's no creation of a parallel delivery system.
69	And so because we have this innovative partnership with the community, the government, this smart model, we have this big, audacious dream today.
70	And that is to solve a full 40 percent of the problem of out-of-school girls in India in the next five years.
71	(Applause)
72	And you're thinking, that's a little ... You know, how am I even thinking about doing that, because India is not a small place, it's a huge country.
73	It's a country of over a billion people.
74	We have 650,000 villages.
75	How is it that I'm standing here, saying that one small organization is going to solve a full 40 percent of the problem?
76	And that's because we have a key insight.
77	And that is, because of our entire approach, with data and with technology, that five percent of villages in India have 40 percent of the out-of-school girls.
78	And this is a big, big piece of the puzzle.
79	Which means, I don't have to work across the entire country.
80	I have to work in those five percent of the villages, about 35,000 villages, to actually be able to solve a large piece of the problem.
81	And that's really key, because these villages not only have high burden of out-of-school girls, but also a lot of related indicators, right, like malnutrition, stunting, poverty, infant mortality, child marriage.
82	So by working and focusing here, you can actually create a large multiplier effect across all of these indicators.
83	And it would mean that we would be able to bring back 1.6 million girls back into school.
84	(Applause)
85	"I have to say, I have been doing this for over a decade, and I have never met a girl who said to me, you know, ""I want to stay at home,"" ""I want to graze the cattle,"" ""I want to look after the siblings,"" ""I want to be a child bride."""
86	Every single girl I meet wants to go to school.
87	And that's what we really want to do.
88	We want to be able to fulfill those 1.6 million dreams.
89	And it doesn't take much.
90	To find and enroll a girl with our model is about 20 dollars.
91	To make sure that she is learning and providing a learning program, it's another 40 dollars.
92	But today is the time to do it.
93	Because she is truly the biggest asset we have.
94	I am Safeena Husain, and I educate girls.
95	Thank you.
96	(Applause)
