	en
0	David Biello: So Victor, what have you been up to?
1	Victor Vescovo: That's the bottom of the Atlantic Ocean, and I guess I read too much Jules Verne as a young boy, and so for the last four years I've led a team to design and build what is now the most advanced and deepest diving submersible on the planet, and I have the ability to personally pilot it too.
2	So this was us in December of last year, for the first time — the bottom of the Atlantic Ocean.
3	DB: And nobody's seen that before right?
4	That's just you.
5	VV: No.
6	Well, now everybody else.
7	DB: Who does that?
8	Like —
9	VV: Well, I think everyone has seen the developments in the last 10, 15 years.
10	You have a bunch of people that have the means to explore outer space, like SpaceX or Blue Origin — those guys — and we're going the other direction.
11	So it's a wonderful era of private individuals spending their resources to develop technologies that can take us to places that have never been explored before, and the oceans of the world is — it's almost a cliché to say it's 70 percent of our entire planet, and of that, 95 percent is unexplored.
12	So what we're trying to do with our expedition is to build and prove out a submersible that can go to any point on the bottom of the planet to explore the 60 percent of this planet that is still unexplored.
13	DB: You need a pretty cool tool to do that, right?
14	VV: Right.
15	Now the tool is the submarine, the Limiting Factor.
16	It's a state-of-the-art vessel supported by the support ship, the Pressure Drop.
17	It has a two-person titanium sphere, 90 millimeters-thick, that keeps it at one atmosphere, and it has the ability to dive repeatedly down to the very deepest point of the ocean.
18	DB: So like the SpaceX of ocean exploration?
19	VV: Yeah, it's kind of the SpaceX of ocean exploration, but I pilot my own vehicles.
20	(Laughter)
21	DB: Are you going to take Elon or...?
22	VV: Yeah, I could take someone down there.
23	So, Elon, if you're listening, I'll give you a ride in mine if you give me a ride in yours.
24	(Laughter)
25	DB: So tell us what it's like down there.
26	I mean, we're talking about a place where the pressure is so intense that it's like putting an Eiffel Tower on your toe.
27	VV: It's more than that.
28	It's about 16,000 psi.
29	So the issue is that we have this titanium sphere that allows us to go down to these extreme depths and come up repeatedly.
30	That's never been done before.
31	The Challenger Deep has been dived twice, once in 1960 and once in 2012 by James Cameron, and they went down and came back up and those were experimental craft.
32	This is the first commercially certified submersible that can go up and down thousands of times with two people, including a scientist.
33	We're very proud that we took down the deepest-diving British citizen in history just three weeks ago, Dr. Alan Jamieson of Newcastle University who was down with us on the Java Trench.
34	DB: So, not too much freaks you out, is what I'm guessing.
35	VV: Well, it's a lot different to go diving.
